WARNING:__main__:Development environment detected: overriding DATABASE_URL sqlite:////Users/omerozmen/Desktop/x-ear web app/backend/backend/xear_crm.db -> sqlite:////Users/omerozmen/Desktop/x-ear web app/backend/instance/xear_crm.db
WARNING:services.otp_store:Failed to initialize RedisOTPStore: No module named 'redis' — falling back to in-memory store
INFO:__main__:Starting Flask development server on 0.0.0.0:5003
 * Serving Flask app 'app'
 * Debug mode: off
INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5003
 * Running on http://192.168.1.114:5003
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:23:51] "GET /api/health HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:24] "GET /api/patients/P00002 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:24] "GET /api/patients/P00002/devices HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:43] "GET /api/suppliers?per_page=100&is_active=true HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:45] "OPTIONS /api/inventory HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:45] "OPTIONS /api/patients?per_page=1000&page=1 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:45] "GET /api/devices HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:46] "OPTIONS /api/inventory HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:46] "OPTIONS /api/patients?per_page=1000&page=1 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:46] "GET /api/inventory HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:46] "GET /api/patients?per_page=1000&page=1 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:46] "GET /api/devices HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:48] "OPTIONS /api/patients/P00002/sales HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:48] "GET /api/patients/P00002/sales HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:48] "GET /api/patients/P00002/replacements HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:24:51] "GET /api/patients/P00002/devices HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Oct/2025 16:25:24] "OPTIONS /api/inventory HTTP/1.1" 200 -
